id,loc_verdict,loc_should_be,loc_error_type,crop_verdict,crop_should_be,note
W7134000855,correct,,,not_applicable,,
W4296445924,correct,,,correct,,
W4387491375,correct,,,correct,,
W4408466362,correct,,,not_applicable,,
W3113475346,correct,,,not_applicable,,
W2567188132,correct,,,correct,,
W7126428592,correct,,,correct,,
W4200468247,cannot_determine,,,correct,,India appears only as background motivation; no field-site location stated for imagery
W2102296257,correct,,,correct,,
W4407184927,correct,,,correct,,
W4392603093,correct,,,correct,,
W7161042727,correct,,,correct,,
W4387610106,correct,,,not_applicable,,
W4225894664,correct,,,correct,,
W3041629855,correct,,,correct,,
W7124282373,correct,,,correct,,
W2514699863,correct,,,correct,,
W4408488037,correct,,,correct,,
W4310253054,correct,,,correct,,
W3033156394,correct,,,correct,,
W4392791998,correct,,,correct,,
W2083673770,correct,,,correct,,
W3134139262,correct,,,correct,,
W4392714763,correct,,,correct,,
W7144244648,correct,,,not_applicable,,
W4413144671,correct,,,incorrect,strawberry,Strawberry is the modelled crop; crop field left blank
W3206288524,correct,,,correct,,
W4313490434,correct,,,correct,,
W3139481808,correct,,,correct,,
W3184646401,correct,,,correct,,
W4398138302,correct,,,not_applicable,,
W2726260219,correct,,,incorrect,tea,Tea is the modelled crop; crop field left blank
W3154824544,incorrect,"MAR,SEN",other,not_applicable,,National analysis for Senegal and Morocco; coded single_country instead of multi_country
W4390629661,correct,,,not_applicable,,
W4210779026,correct,,,correct,,
W3216762698,correct,,,correct,,
W2971383617,correct,,,correct,,
W2343719426,correct,,,correct,,
W4416971623,correct,,,correct,,
W4416725929,correct,,,correct,,
W4399400351,correct,,,correct,,
W2997785409,correct,,,correct,,
